number,person,word,label
574, 0.0, online, 1
575, 0.2222, say, 1
576, 0.3333, ok, 1
577, 0.375, be, 1
578, 0.0, tyvm, 1
579, 0.0, ilke, 1
580, 0.0, tooo, 1
581, 1.0, have, 1
582, 1.0, voice, 1
583, 0.0, everyone, 1
584, 0.2105, mean, 1
585, 0.0, thank, 1
586, 0.375, be, 1
587, 0.25, find, 1
588, 0.2, make, 1
589, 0.0, msesag, 1
590, 0.2857, message, 1
591, 0.375, be, 1
592, 0.375, be, 1
593, 0.7692, pick, 1
594, 0.0, lol, 1
595, 0.375, be, 1
596, 0.0, gon, 1
597, 0.375, be, 1
598, 0.4, lr, 1
599, 0.0, ?!, 1
600, 0.0, Thats, 1
601, 0.2105, mean, 1
602, 0.375, be, 1
603, 0.375, be, 1
604, 0.0, Thats, 1
605, 0.0, lol, 1
606, 0.375, be, 1
607, 1.0, listener, 1
608, 0.0, dont, 1
609, 1.0, mind, 1
610, 0.2, like, 1
611, 0.0, lol, 1
612, 0.0, Happylilgrrl, 1
613, 0.0, lol, 1
614, 1.0, have, 1
615, 0.3529, go, 1
616, 0.1739, get, 1
617, 0.3333, dinner, 1
618, 0.8235, gramma, 1
619, 0.375, come, 1
620, 0.7692, home, 1
621, 0.375, be, 1
622, 0.25, tomorrow, 1
623, 0.3333, night, 1
624, 0.2353, try, 1
625, 0.375, be, 1
626, 0.375, be, 1
627, 1.0, have, 1
628, 0.4444, finish, 1
629, 0.5714, stuff, 1
630, 0.0, lol, 1
631, 0.2222, know, 1
632, 0.2667, feeling, 1
633, 0.2, like, 1
634, 0.5, n, 1
635, 0.3333, night, 1
636, 0.3333, day, 1
637, 0.2105, thursday, 1
638, 0.7692, work, 1
639, 0.0, something, 1
640, 1.0, have, 1
641, 0.7692, work, 1
642, 0.2222, do, 1
643, 1.0, have, 1
644, 0.1739, clean, 1
645, 0.0, lol, 1
646, 0.2667, nothing, 1
647, 0.8333, stay, 1
648, 0.3333, night, 1
649, 0.5, n, 1
650, 0.9412, watch, 1
651, 0.7, goony, 1
652, 0.0, Yah, 1
653, 0.625, movie, 1
654, 0.375, be, 1
655, 1.0, have, 1
656, 0.375, be, 1
657, 0.375, be, 1
658, 0.0, ive, 1
659, 0.2, think, 1
660, 0.2222, do, 1
661, 0.0, disappear, 1
662, 0.0, Aww, 1
663, 0.375, be, 1
664, 0.2222, January, 1
665, 0.375, k, 1
666, 0.0, 13/f/riverside, 1
667, 0.7368, chat, 1
668, 0.0, Wat, 1
669, 0.0, doin, 1
670, 0.0, lol, 1
671, 1.0, have, 1
672, 0.375, y, 1
673, 0.0, askin, 1
674, 0.0, whcih, 1
675, 0.375, be, 1
676, 0.25, profile, 1
677, 0.0, lol, 1
678, 0.0, Kewl, 1
679, 0.25, look, 1
680, 0.0, Kewl, 1
681, 0.9091, way, 1
682, 0.0, wat, 1
683, 0.0, Doesnt, 1
684, 0.4615, matter, 1
685, 0.25, guess, 1
686, 0.25, profile, 1
687, 0.0, goto, 1
688, 0.1905, homepage, 1
689, 0.0, Lol, 1
690, 0.0, ty, 1
691, 0.0, lol, 1
692, 0.375, y, 1
693, 0.0, wat, 1
694, 0.6667, wan, 1
695, 0.2222, do, 1
696, 0.0, dont, 1
697, 0.2222, know, 1
698, 1.0, party, 1
699, 0.8421, mom, 1
700, 0.8421, dad, 1
